Чешутся уши	Скорее всего, вас продуло, или в ухо попала вода. Рекомендую обратиться к специалисту. Так же для прекращения воспалительного процесса нужно закапать в ухо противовоспалительные капли. Например, оттпакс. Та же необходимо накрыть ухо шерстяным платком и держать в тёплых условиях.
Заложило уши	Вы находитесь в самолёте. Переведите телефон в режим самолета, попросит у стюардессы сосательную конфету
Кровь из ушей	ЭТО ОЧЕНЬ СЕРЬЕЗНО. Если можете, немедленно! обратитесь к врачу. Если нет, то закапайте сок алоэ.
Болит горло	Полоскайте горло обеззараживающим раствором хлорфилипта, рассасывайте сосательные согревающие конфеты halls. Если у вас поднялась температура выше 38.5, то рекомендуется принять жаропонижающее. Например, парацетамол
Першит горло	Полоскайте горло обеззараживающим раствором хлорфилипта, рассасывайте сосательные согревающие конфеты halls. Если у вас поднялась температура выше 38.5, то рекомендуется принять жаропонижающее. Например, парацетамол
Чешется горло	Можете его почесать. Полоскайте горло обеззараживающим раствором хлорфилипта, рассасывайте сосательные согревающие конфеты halls. Если у вас поднялась температура выше 38.5, то рекомендуется принять жаропонижающее. Например, парацетамол
Поцарапал горло	Рекомендуется прополоскать гордо обеззараживающим средством. При наличии кровотечения необходима незамедлительная помощь врача
Продуло шею 	Если боль сильная, то можете принять обезболивающее. В любом случае, натрите больное место согревающей мазью и заверните в шерястяной платок. Боль не должна продержаться дольше 3 дней
Болит шея	Если боль сильная, то можете принять обезболивающее. В любом случае, натрите больное место согревающей мазью и заверните в шерястяной платок. Боль не должна продержаться дольше 3 дней
Поцарапал шею 	Если присутствует не сильное кровотечение, то рекомендуется промыть рану обеззараживающим средством и наложить марлевую повязку. Если кровотечение сильное, то необходимо обратиться к врачу
Поранил шею	Если присутствует не сильное кровотечение, то рекомендуется промыть рану обеззараживающим средством и наложить марлевую повязку. Если кровотечение сильное, то необходимо обратиться к врачу
Кровь на шее	ЭТО ОЧЕНЬ СЕРЬЕЗНО. Если можете, немедленно! обратитесь к врачу. Если нет, то закапайте сок алоэ.
Болит спина	Скорее всего вас продуло. Разотрите больное место согревающей мазью, укройте шерстяным платком. Если боль очень сильная, обратитесь к врачу
Болит поясница	Скорее всего вас продуло. Разотрите больное место согревающей мазью, укройте шерстяным платком. Если боль очень сильная, обратитесь к врачу
Ноет спина	Скорее всего вас продуло. Разотрите больное место согревающей мазью, укройте шерстяным платком. Если боль очень сильная, обратитесь к врачу
Ноет поясница 	Скорее всего вас продуло. Разотрите больное место согревающей мазью, укройте шерстяным платком. Если боль очень сильная, обратитесь к врачу
Поранил спину	Если присутствует не сильное кровотечение, то рекомендуется промыть рану обеззараживающим средством и наложить марлевую повязку. Если кровотечение сильное, то необходимо обратиться к врачу
Ударил спину	Если на месте удара образовалась гематома, то наложите повязку, предварительно смазанную противогематомным средством
Болит живот	Если боль появляется на регулярной основе, обратитесь к врачу. Выпейте обезболивающее или активированный уголь 
Крутит живот	Если боль появляется на регулярной основе, обратитесь к врачу. Выпейте обезболивающее или активированный уголь 
Выстрел в живот 	Немедленно обратитесь к специалисту! Не пытайтесь извлекать пулю самостоятельно. Вы можете только усугубить ситуацию
